AUN,School District,County,2011-12 Average Daily Membership,2011-12 Weighted Average Daily Membership,"Instruction
per ADM","Support Services
per ADM","Non-Instructional
per ADM","Curr Exp
per ADM","Facilities Acquisition & Construction
per ADM","Other Financing Uses
per ADM","Total Exp
per ADM","AIE
per WADM"
112011103,Bermudian Springs SD,Adams,2116.76,2424.23,6346.66,3303.99,364.64,10015.30,0.00,1273.66,11288.97,6693.47
112011603,Conewago Valley SD,Adams,4032.94,4719.53,6988.07,2853.72,168.05,10009.84,0.00,903.29,10913.13,6754.36
112013054,Fairfield Area SD,Adams,1211.59,1439.05,7087.74,4144.68,360.48,11592.90,0.00,5472.46,17065.36,7748.19
112013753,Gettysburg Area SD,Adams,3059.62,3584.65,8865.36,4788.35,339.22,13992.93,0.00,2205.35,16198.28,9360.04
112015203,Littlestown Area SD,Adams,2178.86,2562.65,7107.34,2926.41,205.50,10239.24,0.00,887.85,11127.09,6899.81
112018523,Upper Adams SD,Adams,1720.56,2014.14,6961.29,4240.11,360.84,11562.24,0.00,1059.29,12621.53,7572.42
103020603,Allegheny Valley SD,Allegheny,1046.16,1230.79,8795.71,5880.88,605.64,15282.23,17.89,2188.78,17488.90,10400.71
103020753,Avonworth SD,Allegheny,1538.70,1768.31,7848.39,4357.95,504.93,12711.27,0.00,1483.58,14194.85,8778.66
103021102,Baldwin-Whitehall SD,Allegheny,4309.13,5093.91,7232.91,4358.19,290.61,11881.72,105.57,1966.23,13953.53,7677.11
103021252,Bethel Park SD,Allegheny,4703.47,5423.03,8257.65,4348.05,297.46,12903.16,34.25,1698.17,14635.57,8905.98
103021453,Brentwood Borough SD,Allegheny,1310.87,1534.43,8007.75,3906.83,477.26,12391.84,35.09,1325.52,13752.46,8625.13
103021603,Carlynton SD,Allegheny,1486.50,1741.94,9260.30,4766.18,333.42,14359.91,0.00,4.87,14364.78,9334.54
103021752,Chartiers Valley SD,Allegheny,3482.17,4083.81,8335.87,4407.63,398.00,13141.50,11.74,1769.24,14922.49,8526.76
103021903,Clairton City SD,Allegheny,936.49,1091.61,10237.14,4192.62,323.08,14752.84,0.00,178.54,14931.38,9314.41
103022103,Cornell SD,Allegheny,702.73,825.88,9026.90,5517.91,519.80,15064.62,0.00,1596.44,16661.06,9620.61
103022253,Deer Lakes SD,Allegheny,2024.24,2371.96,7663.35,5018.98,264.59,12946.93,93.73,2050.69,15091.35,8233.78
103022503,Duquesne City SD,Allegheny,737.95,863.58,12978.61,4687.27,162.21,17828.09,0.00,2286.37,20114.46,10226.05
103022803,East Allegheny SD,Allegheny,1985.50,2262.60,8190.22,4168.61,212.98,12571.81,0.00,1375.26,13947.08,7760.74
103023153,Elizabeth Forward SD,Allegheny,2471.33,2930.84,8128.42,4004.74,367.84,12501.00,0.00,1374.75,13875.75,7968.09
