AUN,School District,County,2013-14 Average Daily Membership,2013-14 Weighted Average Daily Membership,Instruction per ADM,Support Services per ADM,Non-Instructional per ADM,Current Exp per ADM,"Facilites, Acquistion & Construction per ADM",Other Financing Uses per ADM,Total Exp per ADM,,,,
112011103,Bermudian Springs SD,Adams,2110.56,2475.68,6456.07,3410.49,379.45,10247.82,0.00,1559.37,11805.39,,,,
112011603,Conewago Valley SD,Adams,4004.42,4687.30,7340.76,2896.47,178.15,10416.15,0.00,1040.40,11455.78,,,,
112013054,Fairfield Area SD,Adams,1157.50,1378.24,7706.61,4091.82,419.17,12221.50,0.00,1493.16,13710.77,,,,
112013753,Gettysburg Area SD,Adams,3079.06,3611.21,9660.14,4899.29,335.79,14896.93,0.00,3763.73,18658.95,,,,
112015203,Littlestown Area SD,Adams,2105.52,2477.44,8273.45,3303.90,209.57,11788.59,0.00,918.59,12705.50,,,,
112018523,Upper Adams SD,Adams,1731.01,2013.53,8018.98,4579.27,373.72,12974.83,0.00,874.99,13846.96,,,,
103020603,Allegheny Valley SD,Allegheny,1002.70,1174.01,9972.25,6189.99,576.71,16745.69,0.00,3692.56,20431.50,,,,
103020753,Avonworth SD,Allegheny,1587.73,1833.12,8757.79,4735.04,569.66,14065.83,0.00,1570.00,15632.49,,,,
103021102,Baldwin-Whitehall SD,Allegheny,4252.31,5005.39,7638.78,4388.27,324.29,12352.45,0.00,2161.95,14513.29,,,,
103021252,Bethel Park SD,Allegheny,4564.35,5258.72,10735.90,4685.92,324.59,15747.51,15.59,2129.63,17891.63,,,,
103021453,Brentwood Borough SD,Allegheny,1328.52,1537.70,9250.13,4368.79,572.86,14195.50,52.09,1343.39,15587.26,,,,
103021603,Carlynton SD,Allegheny,1483.95,1737.33,10704.59,5327.84,363.01,16399.27,4736.03,1.77,21133.24,,,,
103021752,Chartiers Valley SD,Allegheny,3448.40,4043.17,9362.16,4802.08,433.08,14598.83,10.98,1171.39,15779.69,,,,
103021903,Clairton City SD,Allegheny,916.95,1056.43,10427.02,4497.69,370.15,15300.17,1.85,163.06,15459.77,,,,
103022103,Cornell SD,Allegheny,683.95,798.20,9537.31,5779.87,516.87,15843.26,52.64,1338.54,17225.23,,,,
103022253,Deer Lakes SD,Allegheny,2000.32,2342.91,8046.54,5386.78,269.94,13706.08,5.53,1759.35,15468.14,,,,
103022503,Duquesne City SD,Allegheny,800.93,934.92,13634.31,4415.23,38.18,18093.27,0.00,5625.11,23712.82,,,,
103022803,East Allegheny SD,Allegheny,1879.83,2132.96,9386.99,4842.98,232.51,14465.18,0.00,1477.61,15940.09,,,,
103023153,Elizabeth Forward SD,Allegheny,2397.05,2837.10,8820.79,4745.40,422.10,13990.45,0.00,1504.77,15493.06,,,,
103023912,Fox Chapel Area SD,Allegheny,4303.03,5065.63,11668.50,5784.01,486.52,17940.48,11.07,1175.74,19125.84,,,,
103024102,Gateway SD,Allegheny,3770.88,4466.03,11237.79,6041.59,338.64,17619.72,0.00,1290.70,18908.73,,,,
103024603,Hampton Township SD,Allegheny,3067.36,3571.48,7843.91,4158.83,357.38,12361.59,0.00,2021.75,14381.87,,,,
103024753,Highlands SD,Allegheny,2597.16,3004.85,8798.28,4711.66,256.16,13768.02,0.00,1149.13,14915.24,,,,
103025002,Keystone Oaks SD,Allegheny,2045.17,2352.35,9202.89,5534.91,460.94,15201.68,1.22,3556.09,18756.06,,,,
103026002,McKeesport Area SD,Allegheny,3946.91,4590.82,8710.51,4225.72,247.19,13184.55,0.00,1904.93,15088.34,,,,
103026303,Montour SD,Allegheny,2914.92,3452.26,10684.84,5778.58,390.48,16856.01,0.77,2774.13,19628.79,,,,
103026343,Moon Area SD,Allegheny,3832.98,4503.96,9057.57,4518.25,431.18,14008.30,0.00,2705.43,16712.44,,,,
103026402,Mt Lebanon SD,Allegheny,5265.08,6007.76,8972.17,4344.32,434.22,13751.62,0.00,1954.34,15705.05,,,,
103026852,North Allegheny SD,Allegheny,8379.13,9618.05,9031.97,4364.60,383.98,13781.11,157.64,9283.44,23221.62,,,,
103026902,North Hills SD,Allegheny,4338.56,5109.21,9130.12,4212.22,338.18,13681.57,3.91,2149.35,15833.78,,,,
103026873,Northgate SD,Allegheny,1249.79,1454.73,9012.71,4688.63,419.33,14124.75,69.91,743.85,14934.41,,,,
103027352,Penn Hills SD,Allegheny,4734.70,5602.81,10323.53,5126.43,291.55,15742.65,0.00,2337.68,18079.18,,,,
103021003,Pine-Richland SD,Allegheny,4688.31,5394.17,7833.93,3831.33,319.43,11985.58,30.03,2185.23,14199.95,,,,
102027451,Pittsburgh SD,Allegheny,27530.96,31957.49,12530.37,6526.78,199.16,19256.56,82.86,2414.66,21753.84,,,,
103027503,Plum Borough SD,Allegheny,4101.05,4835.17,8216.08,3662.02,295.21,12174.28,27.04,1673.24,13873.59,,,,
103027753,Quaker Valley SD,Allegheny,1972.14,2258.54,10184.79,6259.39,751.68,17199.41,0.00,3550.27,20746.12,,,,
103028203,Riverview SD,Allegheny,1058.20,1243.67,9883.07,5812.47,608.82,16310.42,215.13,1237.88,17757.36,,,,
103028302,Shaler Area SD,Allegheny,4769.05,5619.86,8895.81,4812.22,348.40,14057.52,0.00,1401.52,15457.95,,,,
103028653,South Allegheny SD,Allegheny,1616.32,1903.41,7645.07,3966.80,320.56,11935.08,45.71,827.74,12805.88,,,,
103028703,South Fayette Township SD,Allegheny,2828.59,3167.31,6834.02,4899.70,454.68,12190.29,0.00,2864.47,15052.87,,,,
103028753,South Park SD,Allegheny,1994.06,2288.69,7682.53,4300.36,431.15,12416.41,0.00,2662.83,15076.87,,,,
103028833,Steel Valley SD,Allegheny,1881.42,2211.21,8903.28,4134.58,296.02,13336.23,0.00,1998.26,15332.13,,,,
103028853,Sto-Rox SD,Allegheny,1777.75,2036.42,7784.63,3948.59,85.42,11820.91,0.00,884.25,12702.89,,,,
103029203,Upper Saint Clair SD,Allegheny,4189.15,4824.68,8151.55,5352.96,323.10,13828.96,0.00,2074.85,15902.45,,,,
103029403,West Allegheny SD,Allegheny,3334.19,3803.58,8176.05,5147.32,483.77,13808.83,37.95,2129.45,15974.54,,,,
103029553,West Jefferson Hills SD,Allegheny,2890.50,3286.09,7528.04,4210.55,380.57,12120.75,0.00,1110.83,13229.99,,,,
103029603,West Mifflin Area SD,Allegheny,2793.28,3299.16,9477.29,4481.22,390.36,14350.62,44.19,2418.52,16811.59,,,,
103029803,Wilkinsburg Borough SD,Allegheny,1265.20,1452.30,15830.23,5672.61,254.73,21762.26,0.00,1636.95,23394.52,,,,
103029902,Woodland Hills SD,Allegheny,5092.52,5917.95,10349.07,4206.34,313.25,14869.55,0.00,1448.97,16317.63,,,,
128030603,Apollo-Ridge SD,Armstrong,1371.37,1622.20,8392.05,4242.45,305.96,12943.78,59.18,1272.85,14272.50,,,,
128030852,Armstrong SD,Armstrong,5827.75,6687.63,9495.64,4319.29,272.54,14088.25,69.06,1638.94,15795.47,,,,
128033053,Freeport Area SD,Armstrong,1925.32,2275.27,7437.13,4244.62,281.89,11966.00,0.00,1110.66,13074.31,,,,
128034503,Leechburg Area SD,Armstrong,846.98,963.76,9022.11,4257.97,415.78,13701.38,0.00,950.37,14646.23,,,,
127040503,Aliquippa SD,Beaver,1304.28,1501.04,8705.33,4622.36,346.54,13678.05,0.00,2262.32,15936.56,,,,
127040703,Ambridge Area SD,Beaver,2913.71,3378.91,8143.04,3730.35,223.29,12098.04,0.00,1944.85,14041.53,,,,
127041203,Beaver Area SD,Beaver,2087.34,2393.73,6735.41,4285.29,325.52,11348.42,31.72,1293.77,12671.69,,,,
127041503,Big Beaver Falls Area SD,Beaver,1760.85,2030.15,8095.55,4612.88,433.64,13144.94,64.81,1156.97,14363.86,,,,
127041603,Blackhawk SD,Beaver,2576.45,3027.02,7200.70,3983.63,456.89,11642.95,0.00,1020.91,12662.13,,,,
127042003,Central Valley SD,Beaver,2464.72,2819.95,7204.27,3917.96,351.17,11475.13,0.00,832.61,12306.01,,,,
127042853,Freedom Area SD,Beaver,1570.88,1839.05,7462.38,4124.07,321.97,11911.25,29.18,751.45,12689.05,,,,
127044103,Hopewell Area SD,Beaver,2355.10,2781.50,8489.37,4359.84,362.89,13214.11,0.00,1618.08,14830.19,,,,
127045303,Midland Borough SD,Beaver,436.08,503.16,8933.56,3430.91,49.82,12422.28,0.00,465.39,12879.68,,,,
127045653,New Brighton Area SD,Beaver,1568.85,1838.94,8169.57,4177.50,412.37,12762.37,7.86,988.89,13756.19,,,,
127045853,Riverside Beaver County SD,Beaver,1566.12,1841.99,8116.00,4424.23,296.11,12839.36,0.00,1180.95,14017.29,,,,
127046903,Rochester Area SD,Beaver,859.71,998.64,10516.96,4656.06,331.78,15510.59,90.79,1553.82,17149.40,,,,
127047404,South Side Area SD,Beaver,1184.60,1389.28,10393.97,6245.60,569.53,17214.84,0.00,1596.81,18805.90,,,,
127049303,Western Beaver County SD,Beaver,748.93,890.85,9163.65,4918.86,325.51,14415.02,0.00,870.90,15278.92,,,,
108051003,Bedford Area SD,Bedford,2215.89,2624.84,7205.96,3898.57,183.56,11289.93,0.00,842.78,12130.86,,,,
108051503,Chestnut Ridge SD,Bedford,1601.13,1882.33,6354.59,4039.57,275.16,10672.01,14.20,963.88,11647.40,,,,
108053003,Everett Area SD,Bedford,1325.84,1561.69,7939.67,3985.84,299.12,12227.86,0.00,1491.81,13716.44,,,,
108056004,Northern Bedford County SD,Bedford,1017.38,1169.52,7302.70,3872.19,330.24,11509.26,35.01,535.27,12075.42,,,,
108058003,Tussey Mountain SD,Bedford,1113.78,1255.93,8002.18,4671.56,297.83,12976.03,11.61,1918.65,14901.83,,,,
114060503,Antietam SD,Berks,1053.95,1224.96,7841.64,4310.06,341.13,12497.24,92.83,1577.58,14163.24,,,,
114060753,Boyertown Area SD,Berks,7297.17,8301.11,7770.20,3842.46,185.94,11799.15,0.00,1235.86,13034.46,,,,
114060853,Brandywine Heights Area SD,Berks,1598.19,1898.45,9849.67,5028.36,341.64,15223.03,181.26,2203.49,17604.41,,,,
114061103,Conrad Weiser Area SD,Berks,2792.91,3291.72,8699.42,3823.01,279.36,12803.26,0.00,2303.74,15105.54,,,,
114061503,Daniel Boone Area SD,Berks,3716.33,4252.18,7994.17,3735.04,171.60,11901.86,0.00,1663.54,13564.34,,,,
114062003,Exeter Township SD,Berks,4212.29,4989.96,8852.08,3899.11,304.22,13056.40,174.31,3923.87,17153.58,,,,
114062503,Fleetwood Area SD,Berks,2660.11,3129.36,8566.73,4013.96,233.29,12815.57,0.00,1814.16,14628.13,,,,
114063003,Governor Mifflin SD,Berks,4116.27,4820.82,8337.43,4070.45,428.33,12837.31,0.00,1903.05,14739.26,,,,
114063503,Hamburg Area SD,Berks,2321.77,2734.46,8763.89,4561.17,301.53,13628.69,6.73,1792.69,15426.01,,,,
114064003,Kutztown Area SD,Berks,1451.16,1713.88,11178.03,5959.79,395.29,17537.49,758.97,2467.58,20759.66,,,,
114065503,Muhlenberg SD,Berks,3561.59,4204.51,7565.41,3707.85,351.60,11626.00,0.00,2347.50,13972.37,,,,
114066503,Oley Valley SD,Berks,1771.69,2092.40,8976.83,4912.63,384.58,14277.02,0.00,1705.49,15979.53,,,,
114067002,Reading SD,Berks,18256.80,20919.37,6817.14,3116.10,145.68,10079.10,0.00,1040.80,11119.72,,,,
114067503,Schuylkill Valley SD,Berks,2006.48,2351.77,9906.21,4106.79,509.40,14524.70,0.00,2116.37,16638.77,,,,
114068003,Tulpehocken Area SD,Berks,1452.54,1702.99,10676.61,5984.37,320.63,16985.95,0.00,11917.70,28899.31,,,,
114068103,Twin Valley SD,Berks,3488.76,4071.03,8564.23,3778.90,226.70,12570.98,5.27,1843.43,14418.54,,,,
