AUN,School District,County,2015-16 Average Daily Membership,2015-16 Weighted Average Daily Membership,"Instruction
per ADM","Support Services
per ADM","Non-Instructional
per ADM","Current Exp
per ADM","Facilites, Acquistion & Construction
per ADM","Other Financing Uses
per ADM","Total Exp
per ADM",AIE per WADM
112011103,Bermudian Springs SD,Adams,2072.98,2432.10,7134.14,3668.56,434.48,11237.18,768.67,1007.48,13013.34,6930.13
112011603,Conewago Valley SD,Adams,3955.78,4616.62,9086.35,3057.08,194.03,12337.46,0.00,2659.07,14996.53,7828.15
112013054,Fairfield Area SD,Adams,1082.05,1282.35,8506.68,4431.38,441.78,13379.83,0.00,7185.62,20565.46,8564.97
112013753,Gettysburg Area SD,Adams,3110.40,3629.50,10866.80,5541.58,346.48,16754.86,0.00,1783.44,18538.30,10855.42
112015203,Littlestown Area SD,Adams,2060.91,2425.96,9173.03,3368.46,235.06,12776.55,0.00,921.67,13698.22,8307.73
112018523,Upper Adams SD,Adams,1777.65,2067.83,8286.79,4967.87,360.96,13615.63,0.00,1070.12,14685.74,8517.23
103020603,Allegheny Valley SD,Allegheny,958.32,1123.57,10979.97,7320.95,688.13,18989.05,0.00,3599.21,22588.27,12379.69
103020753,Avonworth SD,Allegheny,1652.53,1913.95,9502.60,4696.05,554.05,14752.70,0.00,1590.55,16343.25,9891.57
103021102,Baldwin-Whitehall SD,Allegheny,4281.77,5035.83,7796.94,4616.62,323.41,12736.97,446.18,1465.32,14648.47,8026.24
103021252,Bethel Park SD,Allegheny,4286.67,5050.10,11736.96,5080.21,366.31,17183.48,14.08,2113.64,19311.19,11290.69
103021453,Brentwood Borough SD,Allegheny,1237.76,1437.19,10246.16,4503.77,547.84,15297.76,61.99,8046.49,23406.24,9771.83
103021603,Carlynton SD,Allegheny,1449.99,1692.84,11279.56,6225.45,419.33,17924.34,1.60,5.35,17931.29,11355.60
103021752,Chartiers Valley SD,Allegheny,3415.29,3993.85,10577.45,5326.54,447.63,16351.63,0.06,1431.69,17783.38,10714.09
103021903,Clairton City SD,Allegheny,902.90,1031.49,11327.34,4694.06,389.96,16411.36,0.00,146.43,16557.79,10032.66
103022103,Cornell SD,Allegheny,698.43,816.33,11196.62,5487.10,599.59,17283.32,0.00,1665.80,18949.11,10822.81
103022253,Deer Lakes SD,Allegheny,2005.48,2339.94,8755.97,5951.89,277.77,14985.63,0.00,2133.48,17119.10,9264.67
103022503,Duquesne City SD,Allegheny,803.43,929.02,13997.81,5581.94,31.87,19611.62,0.00,1937.01,21548.63,12171.67
103022803,East Allegheny SD,Allegheny,1886.64,2196.06,10446.43,4706.91,212.65,15365.99,0.00,1482.90,16848.89,8606.90
103023153,Elizabeth Forward SD,Allegheny,2390.13,2794.03,9364.76,5013.12,439.22,14817.11,59.77,1411.95,16288.83,9240.55
103023912,Fox Chapel Area SD,Allegheny,4207.31,4959.09,12991.83,6576.41,574.61,20142.86,27.07,1226.87,21396.79,13494.97
103024102,Gateway SD,Allegheny,3608.17,4248.49,11783.73,5275.19,299.96,17358.88,0.00,1394.17,18753.05,11375.13
103024603,Hampton Township SD,Allegheny,2942.26,3420.08,9042.56,4741.93,412.41,14196.90,0.00,2113.00,16309.90,9508.95
103024753,Highlands SD,Allegheny,2663.74,3112.88,9794.84,5037.07,265.94,15097.85,0.00,970.58,16068.43,8990.95
103025002,Keystone Oaks SD,Allegheny,1936.30,2267.53,10964.71,6363.77,542.09,17870.56,0.00,2444.00,20314.57,11316.97
103026002,McKeesport Area SD,Allegheny,4010.03,4669.42,8862.25,3790.88,243.02,12896.15,0.00,1166.47,14062.62,6949.71
103026303,Montour SD,Allegheny,2922.71,3441.51,11603.44,6145.41,423.24,18172.09,14.02,2649.88,20836.00,12071.83
103026343,Moon Area SD,Allegheny,3826.28,4486.63,10231.22,5147.30,405.78,15784.31,0.00,3041.39,18825.70,10620.24
103026402,Mt Lebanon SD,Allegheny,5386.38,6151.86,9838.07,4429.59,440.26,14707.92,0.00,1998.67,16706.59,10549.10
103026852,North Allegheny SD,Allegheny,8301.08,9510.73,9935.08,4951.31,408.48,15294.87,23.19,1786.31,17104.37,10612.39
103026902,North Hills SD,Allegheny,4338.49,5067.76,10082.07,4567.86,307.34,14957.26,2.37,1857.77,16817.40,9841.71
103026873,Northgate SD,Allegheny,1219.23,1420.64,10238.04,5289.09,415.00,15942.13,150.77,707.67,16800.57,9976.35
103027352,Penn Hills SD,Allegheny,4568.52,5383.41,10875.03,5604.71,238.63,16718.37,0.00,2652.06,19370.43,9867.89
103021003,Pine-Richland SD,Allegheny,4652.83,5348.12,9333.72,4433.12,372.80,14139.64,210.78,3394.85,17745.28,9730.48
102027451,Pittsburgh SD,Allegheny,27226.82,31538.19,13586.39,6901.02,216.15,20703.55,65.49,2741.91,23510.96,12651.51
103027503,Plum Borough SD,Allegheny,3953.03,4655.04,9218.17,4181.55,321.01,13720.73,5.95,1878.55,15605.24,8868.15
103027753,Quaker Valley SD,Allegheny,1867.71,2145.99,11848.02,7219.22,819.59,19886.83,0.00,3765.92,23652.75,13703.97
103028203,Riverview SD,Allegheny,984.75,1159.58,11212.27,7340.74,744.76,19297.78,510.03,1347.23,21155.04,13014.99
103028302,Shaler Area SD,Allegheny,4578.55,5373.65,9830.97,5080.94,411.25,15323.16,8.72,1408.54,16740.42,9554.94
103028653,South Allegheny SD,Allegheny,1567.07,1837.13,8984.14,4557.90,359.71,13901.75,44.27,1085.10,15031.12,8494.60
103028703,South Fayette Township SD,Allegheny,3046.52,3420.63,7373.22,5608.79,505.21,13487.22,0.00,2402.92,15890.14,8669.15
103028753,South Park SD,Allegheny,1922.10,2228.58,7982.91,4742.22,481.81,13206.94,0.00,3223.01,16429.95,8437.43
103028833,Steel Valley SD,Allegheny,1761.81,2059.68,11693.22,5558.25,475.02,17726.49,2.39,4405.96,22134.84,10806.81
103028853,Sto-Rox SD,Allegheny,1749.79,1998.93,9257.26,4029.05,161.52,13447.83,0.00,898.74,14346.57,7566.57
103029203,Upper Saint Clair SD,Allegheny,4117.04,4769.08,9535.47,5813.22,369.48,15718.18,0.00,4653.96,20372.14,10382.92
103029403,West Allegheny SD,Allegheny,3380.91,3960.30,8391.48,5330.31,495.54,14217.34,50.36,2295.97,16563.67,9242.78
103029553,West Jefferson Hills SD,Allegheny,2922.28,3316.19,8038.91,4959.53,428.66,13427.10,0.00,1354.66,14781.76,8837.44
103029603,West Mifflin Area SD,Allegheny,2658.31,3129.57,10779.88,5342.69,504.03,16626.59,42.54,11895.07,28564.20,9384.60
103029803,Wilkinsburg Borough SD,Allegheny,1144.63,1301.57,17877.12,5295.49,183.88,23356.49,0.00,3206.97,26563.46,15402.40
103029902,Woodland Hills SD,Allegheny,4971.39,5780.02,11091.77,4407.20,256.36,15755.33,0.00,1181.75,16937.08,9837.51
128030603,Apollo-Ridge SD,Armstrong,1364.91,1613.03,9433.64,4757.70,304.64,14495.98,152.30,1121.84,15770.12,8461.23
128030852,Armstrong SD,Armstrong,5480.03,6280.47,10366.88,4471.49,237.44,15075.80,25.18,1759.65,16860.64,8552.67
128033053,Freeport Area SD,Armstrong,1890.54,2229.28,8430.10,4490.89,295.66,13216.65,0.00,1441.23,14657.88,8403.01
128034503,Leechburg Area SD,Armstrong,798.33,911.17,10204.13,4388.36,486.72,15079.21,0.00,720.86,15800.07,9721.42
127040503,Aliquippa SD,Beaver,1260.81,1447.76,9626.19,5127.10,343.58,15096.88,0.00,1794.10,16890.97,8331.23
127040703,Ambridge Area SD,Beaver,2917.02,3392.84,9001.56,4019.70,267.58,13288.83,0.00,1902.79,15191.63,8213.87
127041203,Beaver Area SD,Beaver,2108.51,2403.92,7217.62,4787.92,370.75,12376.29,6.47,1314.69,13697.46,7705.28
127041503,Big Beaver Falls Area SD,Beaver,1772.32,2049.82,8611.33,4734.46,404.73,13750.52,88.55,1020.50,14859.56,8503.98
127041603,Blackhawk SD,Beaver,2517.76,2963.68,7642.17,3993.90,444.08,12080.15,45.29,1232.42,13357.86,7673.03
127042003,Central Valley SD,Beaver,2461.66,2772.04,8327.83,4197.92,399.47,12925.22,0.00,584.30,13509.51,8729.87
127042853,Freedom Area SD,Beaver,1492.15,1742.86,8776.27,4231.67,354.83,13362.78,30.81,1341.40,14734.98,8592.50
127044103,Hopewell Area SD,Beaver,2194.63,2578.17,9707.12,5175.50,382.37,15264.99,0.00,1542.24,16807.22,9496.81
127045303,Midland Borough SD,Beaver,420.27,486.28,8483.07,3534.70,32.50,12050.26,0.00,504.81,12555.08,7589.35
127045653,New Brighton Area SD,Beaver,1512.10,1768.77,8709.04,4248.16,413.68,13370.87,164.75,1149.37,14684.99,7928.16
127045853,Riverside Beaver County SD,Beaver,1521.14,1793.00,8622.92,4710.21,340.00,13673.14,0.00,1190.97,14864.10,8522.45
127046903,Rochester Area SD,Beaver,800.38,927.47,12332.90,5366.80,362.50,18062.19,0.00,13515.38,31577.57,11383.23
127047404,South Side Area SD,Beaver,1118.54,1319.36,11659.97,6977.48,539.54,19176.99,21.03,1223.22,20421.25,12148.29
127049303,Western Beaver County SD,Beaver,769.92,907.34,9975.55,4924.78,254.06,15154.39,12.97,651.99,15819.35,9301.13
108051003,Bedford Area SD,Bedford,2068.77,2458.74,7848.99,4431.00,224.11,12504.09,0.00,6813.94,19318.04,7153.20
108051503,Chestnut Ridge SD,Bedford,1525.23,1802.62,7258.52,4303.77,300.13,11862.42,4.58,1068.74,12935.73,6693.09
108053003,Everett Area SD,Bedford,1370.54,1612.89,7858.02,4197.06,352.47,12407.55,0.00,1954.00,14361.55,7161.80
108056004,Northern Bedford County SD,Bedford,966.45,1117.90,8005.56,3893.87,311.48,12210.91,0.00,581.35,12792.27,7145.24
108058003,Tussey Mountain SD,Bedford,1028.79,1174.44,9007.32,5269.23,334.23,14610.79,25.87,9342.04,23978.69,8555.02
114060503,Antietam SD,Berks,1070.04,1230.12,9151.58,5371.37,347.58,14870.53,0.00,10553.08,25423.60,10075.11
114060753,Boyertown Area SD,Berks,7138.74,8159.90,9136.65,4383.00,205.07,13724.72,0.00,1393.48,15118.21,9159.65
114060853,Brandywine Heights Area SD,Berks,1499.80,1772.76,11003.60,5581.85,387.84,16973.29,140.06,2976.54,20089.88,10950.19
114061103,Conrad Weiser Area SD,Berks,2663.96,3142.75,10696.48,4585.52,319.55,15601.56,0.00,1877.88,17479.43,9585.31
114061503,Daniel Boone Area SD,Berks,3525.48,4078.40,8786.96,4138.00,190.08,13115.04,0.00,4629.70,17744.74,8393.45
114062003,Exeter Township SD,Berks,4103.86,4860.76,9642.36,4382.77,329.17,14354.30,160.36,2281.94,16796.60,9464.57
114062503,Fleetwood Area SD,Berks,2596.47,3073.76,9414.02,4417.51,252.13,14083.67,0.00,2243.58,16327.24,9045.81
114063003,Governor Mifflin SD,Berks,4117.68,4834.20,9328.17,4399.37,384.48,14112.02,1.34,1718.52,15831.88,9403.58
114063503,Hamburg Area SD,Berks,2262.16,2664.64,9360.83,4902.68,366.94,14630.44,0.00,2094.76,16725.19,9316.69
114064003,Kutztown Area SD,Berks,1386.51,1632.83,12608.11,6670.01,502.56,19780.68,87.65,2515.81,22384.14,13188.11
114065503,Muhlenberg SD,Berks,3711.29,4373.17,8255.94,4015.50,386.28,12657.71,12.37,1869.77,14539.85,8229.78
114066503,Oley Valley SD,Berks,1710.62,2022.51,9821.97,5571.72,452.32,15846.01,0.00,1733.37,17579.38,10192.48
114067002,Reading SD,Berks,18348.32,20887.23,7442.07,3494.48,158.84,11095.39,0.00,774.59,11869.98,6534.33
114067503,Schuylkill Valley SD,Berks,2056.84,2402.63,10683.73,4201.20,558.53,15443.47,0.00,2619.48,18062.95,10033.46
114068003,Tulpehocken Area SD,Berks,1443.06,1699.72,11510.88,6050.79,317.64,17879.31,0.00,2281.32,20160.63,11295.95
114068103,Twin Valley SD,Berks,3482.30,4081.52,9794.32,4351.01,223.68,14369.01,4.79,1886.87,16260.67,9127.82
114069103,Wilson  SD,Berks,6094.08,7167.00,8686.66,4278.45,375.71,13340.82,0.00,2383.79,15724.61,8842.31
114069353,Wyomissing Area SD,Berks,1972.72,2328.65,8718.95,5186.48,467.07,14372.50,0.00,2023.66,16396.16,9717.63
108070502,Altoona Area SD,Blair,7945.22,9267.42,7441.86,3730.79,235.76,11408.42,0.00,360.67,11769.09,6428.50
108071003,Bellwood-Antis SD,Blair,1259.77,1468.19,7006.33,3938.49,367.60,11312.42,0.00,969.03,12281.45,7111.22
108071504,Claysburg-Kimmel SD,Blair,868.38,1018.95,6963.83,4145.32,354.64,11463.79,0.00,1419.27,12883.06,6585.90
108073503,Hollidaysburg Area SD,Blair,3478.05,4090.02,7492.29,4031.15,267.81,11791.25,0.00,9705.62,21496.87,7464.98
108077503,Spring Cove SD,Blair,1924.55,2226.52,7381.58,3758.17,283.52,11423.27,0.00,1318.17,12741.43,6950.08
108078003,Tyrone Area SD,Blair,1843.36,2112.97,6765.72,4358.43,265.25,11389.41,19.47,596.74,12005.61,6498.12
108079004,Williamsburg Community SD,Blair,498.69,578.55,7720.12,4604.29,481.21,12805.62,0.00,1434.45,14240.07,7693.99
117080503,Athens Area SD,Bradford,2137.21,2503.12,9224.48,4651.17,241.86,14117.51,108.77,2002.34,16228.61,8611.61
117081003,Canton Area SD,Bradford,918.20,1069.69,9900.21,4482.02,381.09,14763.31,16.42,1533.69,16313.42,8882.47
117083004,Northeast Bradford SD,Bradford,848.39,998.84,9817.15,5532.16,349.19,15698.50,0.00,978.97,16677.47,9745.12
117086003,Sayre Area SD,Bradford,1044.37,1197.66,11081.50,5378.15,520.74,16980.39,1.03,204.11,17185.54,11403.57
117086503,Towanda Area SD,Bradford,1601.33,1820.66,8608.76,4240.41,359.18,13208.35,43.04,1890.08,15141.47,7834.39
117086653,Troy Area SD,Bradford,1475.68,1720.36,8584.30,4546.65,333.45,13464.39,5.87,15851.58,29321.84,7872.06
117089003,Wyalusing Area SD,Bradford,1327.54,1551.28,8934.25,4858.16,292.28,14084.69,0.00,5484.09,19568.78,8630.29
122091002,Bensalem Township SD,Bucks,7617.35,8864.51,11628.29,5125.61,198.09,16951.99,0.00,1379.29,18331.28,11338.90
122091303,Bristol Borough SD,Bucks,1386.96,1610.78,11096.78,3827.44,274.21,15198.42,129.48,20106.89,35434.79,10384.54
122091352,Bristol Township SD,Bucks,7231.68,8415.15,11653.70,4765.71,155.97,16575.39,0.00,1146.86,17722.25,11018.28
122092002,Centennial SD,Bucks,5628.60,6462.27,11464.88,5315.84,248.25,17028.98,0.00,2194.42,19223.40,11683.34
122092102,Central Bucks SD,Bucks,18865.06,21952.37,8924.73,4499.59,342.88,13767.20,0.00,2457.44,16224.64,8970.73
122092353,Council Rock SD,Bucks,11055.98,12819.08,12592.18,5234.60,328.79,18155.57,0.00,1823.33,19978.89,12250.99
122097203,Morrisville Borough SD,Bucks,974.35,1095.09,13182.40,4610.28,472.89,18265.57,0.00,845.29,19110.86,12960.37
122097502,Neshaminy SD,Bucks,9075.30,10646.30,12032.70,5186.53,198.78,17418.00,75.31,6175.57,23668.88,11596.31
122097604,New Hope-Solebury SD,Bucks,1486.99,1767.13,13950.60,8753.00,579.35,23282.95,0.00,2533.72,25816.68,16242.65
122098003,Palisades SD,Bucks,1677.44,1974.73,13437.69,7451.05,625.49,21514.23,67.73,1965.20,23547.16,14207.23
122098103,Pennridge SD,Bucks,7492.59,8635.89,9723.38,4482.89,201.68,14407.95,0.00,3435.43,17843.37,9765.76
122098202,Pennsbury SD,Bucks,11084.77,13047.51,10904.18,4616.03,119.22,15639.44,0.00,5759.07,21398.50,10412.06
122098403,Quakertown Community SD,Bucks,5450.62,6288.95,10958.81,4926.41,188.69,16073.91,331.23,1767.23,18172.38,10964.28
104101252,Butler Area SD,Butler,7125.74,8179.90,8350.11,4047.55,231.17,12628.83,0.00,1178.24,13807.07,7804.74
104103603,Karns City Area SD,Butler,1551.82,1825.59,8753.89,4667.19,265.81,13686.90,316.14,642.24,14645.27,7980.58
104105003,Mars Area SD,Butler,3334.16,3827.98,7120.70,4006.97,383.75,11511.42,0.00,1649.29,13160.71,7870.06
104105353,Moniteau SD,Butler,1363.66,1566.49,7639.32,4709.31,805.13,13153.76,0.00,995.46,14149.23,7821.78
104107903,Seneca Valley SD,Butler,7334.51,8419.34,9421.03,4104.85,263.24,13789.12,1.93,1336.50,15127.55,8939.98
104107503,Slippery Rock Area SD,Butler,2179.76,2565.31,8832.71,3748.41,394.03,12975.15,137.17,778.40,13890.72,8371.57
104107803,South Butler County SD,Butler,2495.52,2916.36,7375.50,4356.66,389.58,12121.73,0.00,1283.08,13404.81,7601.10
108110603,Blacklick Valley SD,Cambria,680.67,773.93,8724.80,5119.41,534.51,14378.72,0.00,1120.61,15499.33,8862.75
108111203,Cambria Heights SD,Cambria,1419.30,1672.68,8395.54,4364.64,376.18,13136.36,30.36,653.18,13819.91,7922.03
108111303,Central Cambria SD,Cambria,1701.50,1997.44,7741.60,3995.23,260.51,11997.33,0.00,639.73,12637.06,7171.59
108111403,Conemaugh Valley SD,Cambria,802.65,950.24,7911.33,4829.45,548.86,13289.65,0.00,1005.80,14295.45,7881.12
108112003,Ferndale Area SD,Cambria,708.44,812.01,9627.52,5515.29,350.48,15493.29,0.00,0.70,15493.99,9724.33
108112203,Forest Hills SD,Cambria,1918.18,2204.53,7904.31,4048.69,437.64,12390.64,0.00,636.99,13027.63,7696.41
108112502,Greater Johnstown SD,Cambria,3107.70,3586.15,9210.29,4142.11,383.30,13735.70,1300.08,868.27,15904.05,8743.10
108114503,Northern Cambria SD,Cambria,1077.14,1267.43,8880.67,4655.97,359.90,13896.54,0.00,681.88,14578.42,8320.70
108116003,Penn Cambria SD,Cambria,1682.43,1978.60,7868.90,4266.90,310.91,12446.71,7.36,931.06,13385.13,7163.79
108116303,Portage Area SD,Cambria,931.81,1048.81,7617.82,4398.72,586.29,12602.83,3.39,459.84,13066.06,7978.16
108116503,Richland SD,Cambria,1609.26,1902.00,7097.23,3765.38,471.47,11334.07,0.00,1647.08,12981.15,7481.44
108118503,Westmont Hilltop SD,Cambria,1488.77,1760.18,8663.82,3936.41,458.05,13058.28,576.47,270.84,13905.59,8557.81
109122703,Cameron County SD,Cameron,604.25,712.93,11461.50,5641.93,528.25,17631.68,0.00,13613.04,31244.73,11559.03
121135003,Jim Thorpe Area SD,Carbon,2173.04,2553.15,10899.62,5310.03,415.92,16625.57,0.00,4414.83,21040.40,10351.71
121135503,Lehighton Area SD,Carbon,2511.59,2926.21,9377.37,4059.20,366.48,13803.05,2567.57,1152.17,17522.79,9099.49
121136503,Palmerton Area SD,Carbon,1949.52,2242.56,9256.88,3637.62,401.26,13295.75,0.00,2394.81,15690.56,8527.93
121136603,Panther Valley SD,Carbon,1789.15,2032.03,9208.00,3387.57,244.99,12840.56,0.00,3380.12,16220.68,7929.31
121139004,Weatherly Area SD,Carbon,649.92,774.15,11344.37,6851.32,364.25,18559.94,0.00,703.86,19263.80,11957.58
110141003,Bald Eagle Area SD,Centre,1709.01,2016.54,9295.56,5342.03,428.57,15066.16,18.38,765.91,15850.45,9297.45
110141103,Bellefonte Area SD,Centre,2809.01,3274.77,9322.88,5340.47,266.42,14929.77,0.00,1516.62,16446.40,10202.25
110147003,Penns Valley Area SD,Centre,1515.57,1764.78,9090.29,4965.58,379.15,14435.02,0.00,1860.28,16295.29,9007.66
110148002,State College Area SD,Centre,7169.39,8397.34,10794.90,5298.55,374.14,16467.58,42.81,3105.56,19615.95,11022.42
124150503,Avon Grove SD,Chester,5830.02,6743.29,9328.54,3882.54,187.70,13398.78,0.00,961.41,14360.19,9402.96
124151902,Coatesville Area SD,Chester,8799.73,10187.31,11887.14,4295.73,128.29,16311.16,0.00,1721.61,18032.77,11294.39
