AUN,LEA Name,County,2016-17 Average Daily Membership,2016-17 Weighted Average Daily Membership,"Instruction
per ADM","Support Services
per ADM","Non-Instructional
per ADM","Current Exp
per ADM","Facilites, Acquistion & Construction
per ADM","Other Financing Uses
per ADM","Total Exp
per ADM",AIE per WADM
112011103,Bermudian Springs SD,Adams,2056.65,2417.17,7596.34,3956.00,481.00,12033.33,0.00,1705.11,13738.44,7241.34
112011603,Conewago Valley SD,Adams,3973.43,4640.13,9318.60,3160.03,207.44,12686.06,0.00,1960.85,14646.92,8163.52
112013054,Fairfield Area SD,Adams,1058.04,1255.68,8855.48,4585.62,480.43,13921.54,0.00,2189.90,16111.44,8729.69
112013753,Gettysburg Area SD,Adams,3190.90,3731.98,10794.98,5405.89,356.81,16557.68,0.94,1922.21,18480.83,10593.25
112015203,Littlestown Area SD,Adams,2082.47,2445.65,9241.90,3665.98,258.49,13166.38,0.00,1523.12,14689.50,8444.04
112018523,Upper Adams SD,Adams,1752.22,2044.27,8252.70,5135.85,390.64,13779.19,0.00,1106.44,14885.63,8286.55
103020603,Allegheny Valley SD,Allegheny,941.52,1103.53,11968.92,7700.38,720.53,20389.83,0.00,2156.07,22545.90,13104.70
103020753,Avonworth SD,Allegheny,1719.34,1992.52,9584.79,4914.31,561.66,15060.76,0.00,1690.54,16751.30,10099.53
103021102,Baldwin-Whitehall SD,Allegheny,4368.95,5140.02,8153.21,4500.82,305.10,12959.13,265.69,1506.08,14730.89,8180.70
103021252,Bethel Park SD,Allegheny,4318.38,4988.52,11841.67,4899.04,346.35,17087.06,7.46,2236.30,19330.82,11480.44
103021453,Brentwood Borough SD,Allegheny,1269.62,1480.27,10307.67,4517.90,582.85,15408.42,189.02,1405.46,17002.89,10175.53
103021603,Carlynton SD,Allegheny,1460.04,1701.21,11918.95,5837.49,454.03,18210.47,115.11,8.55,18334.13,11572.38
103021752,Chartiers Valley SD,Allegheny,3360.98,3926.54,11272.45,4953.79,447.57,16673.81,0.00,1283.40,17957.21,10891.77
103021903,Clairton City SD,Allegheny,937.25,1069.85,11209.07,5036.91,476.37,16722.35,2120.93,142.59,18985.87,11971.67
103022103,Cornell SD,Allegheny,646.50,756.76,12686.62,6495.24,694.20,19876.06,0.00,2010.48,21886.54,12582.67
103022253,Deer Lakes SD,Allegheny,1942.78,2265.57,9656.11,6193.21,386.31,16235.63,0.00,2023.33,18258.95,10101.06
