Ctgy,AUN,School District,County,2018-19 Average Daily Membership,2018-19 Weighted Average Daily Membership,"Instruction
per ADM","Support Services
per ADM","Non-Instructional
per ADM","Current Exp
per ADM","Facilites, Acquistion & Construction
per ADM","Other Financing Uses
per ADM","Total Exp
per ADM","AIE
per WADM"
1,112011103,Bermudian Springs SD,Adams,2030.64,2387.22,8763.58,4294.04,474.81,13532.42,0.00,4362.11,17894.53,8251.49
1,112011603,Conewago Valley SD,Adams,4054.69,4747.01,9823.02,3597.54,221.77,13642.33,0.00,993.25,14635.58,8651.57
1,112013054,Fairfield Area SD,Adams,1010.79,1202.14,9727.71,7354.27,549.22,17631.20,0.00,1802.20,19433.41,11466.10
1,112013753,Gettysburg Area SD,Adams,3191.67,3738.18,11253.76,5454.97,390.54,17099.27,0.00,1967.08,19066.35,10853.87
1,112015203,Littlestown Area SD,Adams,2071.33,2445.98,9956.20,4269.74,275.49,14501.43,0.00,1638.69,16140.12,9202.02
1,112018523,Upper Adams SD,Adams,1772.44,2067.25,9316.63,5180.07,374.47,14871.16,0.00,1589.74,16460.91,9115.19
1,103020603,Allegheny Valley SD,Allegheny,912.56,1065.37,12868.74,8414.19,719.42,22002.35,0.00,4204.31,26206.66,14295.32
1,103020753,Avonworth SD,Allegheny,1845.79,2133.50,9995.98,5018.25,556.05,15570.28,0.00,2093.46,17663.75,10432.87
1,103021102,Baldwin-Whitehall SD,Allegheny,4495.71,5276.77,8394.50,4416.58,292.88,13103.97,83.77,1786.90,14974.64,7839.82
1,103021252,Bethel Park SD,Allegheny,4155.64,4798.96,12605.58,5454.73,367.93,18428.24,80.68,1843.83,20352.75,12408.19
1,103021453,Brentwood Borough SD,Allegheny,1257.84,1471.53,11772.48,4940.52,605.38,17318.38,86.98,1394.07,18799.43,11235.11
1,103021603,Carlynton SD,Allegheny,1428.90,1658.60,13183.57,6112.07,438.78,19734.42,0.00,135.79,19870.21,12675.90
1,103021752,Chartiers Valley SD,Allegheny,3361.78,3915.72,11881.19,5726.19,446.37,18053.75,0.00,1441.98,19495.74,11474.04
1,103021903,Clairton City SD,Allegheny,974.29,1116.47,11665.92,5214.75,401.19,17281.86,51.48,362.49,17695.82,10415.30
1,103022103,Cornell SD,Allegheny,607.63,708.08,14292.16,7573.35,745.68,22611.19,0.00,1973.33,24584.52,14184.36
1,103022253,Deer Lakes SD,Allegheny,1902.18,2226.86,10772.05,6434.99,390.50,17597.54,15.32,2364.32,19977.18,11043.26
1,103022503,Duquesne City SD,Allegheny,880.05,1023.70,16049.61,6214.31,103.86,22367.78,0.00,1339.91,23707.69,13200.91
1,103022803,East Allegheny SD,Allegheny,1810.31,2123.29,11302.31,5924.08,246.29,17472.67,87.91,1358.57,18919.15,8926.81
1,103023153,Elizabeth Forward SD,Allegheny,2367.79,2765.96,10338.86,5801.99,520.41,16661.26,5.97,1814.87,18482.09,10095.43
1,103023912,Fox Chapel Area SD,Allegheny,4094.48,4796.94,15053.37,7341.87,650.58,23045.82,208.90,1404.47,24659.18,15563.12
1,103024102,Gateway SD,Allegheny,3545.82,4141.88,13353.39,6264.45,378.90,19996.74,0.00,1010.57,21007.31,13123.73
1,103024603,Hampton Township SD,Allegheny,2831.73,3289.04,10659.99,5583.14,475.82,16718.95,0.00,1862.01,18580.96,11035.66
1,103024753,Highlands SD,Allegheny,2457.55,2876.98,11773.27,5346.74,288.58,17408.60,0.00,312.35,17720.95,10339.94
1,103025002,Keystone Oaks SD,Allegheny,1971.66,2306.67,11897.99,6679.85,572.44,19150.28,0.00,7719.70,26869.98,11932.72
1,103026002,McKeesport Area SD,Allegheny,3838.58,4467.95,10145.26,4099.62,283.68,14528.56,0.00,2617.61,17146.18,7857.74
1,103026303,Montour SD,Allegheny,2961.42,3450.05,12455.59,6159.33,454.90,19069.83,5.19,4078.89,23153.91,12511.23
1,103026343,Moon Area SD,Allegheny,3996.24,4675.75,11072.58,5283.60,373.08,16729.26,0.00,2785.84,19515.10,11046.73
1,103026402,Mt Lebanon SD,Allegheny,5539.05,6329.49,10583.59,4715.66,475.99,15775.25,0.00,2102.45,17877.70,11252.20
1,103026852,North Allegheny SD,Allegheny,8655.55,9884.44,11385.18,5532.51,476.83,17394.52,7.70,2094.50,19496.72,11376.69
1,103026902,North Hills SD,Allegheny,4518.40,5234.77,10963.16,4787.00,329.77,16079.93,0.00,2487.54,18567.48,10768.01
1,103026873,Northgate SD,Allegheny,1125.73,1300.24,12970.64,6536.83,527.23,20034.71,1345.42,737.01,22117.14,13032.57
1,103027352,Penn Hills SD,Allegheny,4208.25,4943.56,12594.69,5822.73,281.89,18699.31,0.00,2833.38,21532.69,10390.24
1,103021003,Pine-Richland SD,Allegheny,4694.53,5382.70,10240.47,4962.67,433.56,15636.70,0.00,4858.90,20495.60,10446.95
1,102027451,Pittsburgh SD,Allegheny,26036.56,30140.07,16372.85,8277.21,229.80,24879.86,62.52,1966.64,26909.02,15121.25
1,103027503,Plum Borough SD,Allegheny,3736.20,4287.13,9757.32,4541.15,366.23,14664.69,0.00,2363.43,17028.12,9117.81
1,103027753,Quaker Valley SD,Allegheny,2014.75,2321.74,12152.00,7548.34,808.34,20508.68,0.00,4363.17,24871.86,13965.35
1,103028203,Riverview SD,Allegheny,1016.32,1177.64,12191.99,7485.68,740.45,20418.12,9.15,1458.70,21885.97,13747.62
1,103028302,Shaler Area SD,Allegheny,4293.01,5038.28,11637.25,5807.22,458.33,17902.80,0.00,1707.54,19610.34,11111.45
1,103028653,South Allegheny SD,Allegheny,1599.25,1878.22,10298.95,4570.10,462.89,15331.93,3.10,783.81,16118.84,8907.23
