AUN,School District,County,2019-20 Average Daily Membership,2019-20 Weighted Average Daily Membership,"Instruction
per ADM","Support Services
per ADM","Non-Instructional
per ADM","Current Exp
per ADM","Facilites, Acquistion & Construction
per ADM","Other Financing Uses
per ADM","Total Exp
per ADM",
112011103,Bermudian Springs SD,Adams,2010.19,2362.74,8503.78,4322.57,500.61,13329.35,15.91,1431.80,14774.66,
112011603,Conewago Valley SD,Adams,4067.62,4768.53,10379.26,3413.62,217.71,14011.49,0.00,1068.13,15078.72,
112013054,Fairfield Area SD,Adams,1009.91,1192.61,9586.90,5465.85,499.01,15557.67,0.00,14629.35,30181.11,
112013753,Gettysburg Area SD,Adams,3187.49,3743.86,11786.96,5604.65,370.33,17763.81,5.74,2088.32,19856.00,
112015203,Littlestown Area SD,Adams,2139.99,2525.81,10094.75,4042.41,271.68,14410.84,0.00,1187.73,15596.56,
112018523,Upper Adams SD,Adams,1731.60,2028.41,9492.88,5273.85,409.53,15179.55,0.00,1175.20,16351.47,
103020603,Allegheny Valley SD,Allegheny,944.90,1078.20,12925.18,7873.21,688.39,21495.84,0.00,4075.22,25562.00,
103020753,Avonworth SD,Allegheny,1885.94,2178.97,10358.49,4973.00,573.22,15907.65,0.00,1751.86,17656.56,
103021102,Baldwin-Whitehall SD,Allegheny,4599.02,5373.88,8569.90,4230.76,254.21,13055.84,176.15,1822.60,15053.61,
103021252,Bethel Park SD,Allegheny,4146.91,4760.59,13005.93,5383.44,364.02,18754.77,2.28,1934.21,20689.86,
103021453,Brentwood Borough SD,Allegheny,1278.19,1501.38,11691.62,4857.38,610.03,17163.31,66.24,1417.70,18642.97,
103021603,Carlynton SD,Allegheny,1447.21,1682.87,12637.13,5957.45,437.45,19036.46,27.17,1188.43,20247.63,
103021752,Chartiers Valley SD,Allegheny,3369.64,3913.43,12055.52,5325.47,417.51,17800.21,0.00,1540.35,19338.86,
103021903,Clairton City SD,Allegheny,932.30,1074.74,12119.36,5617.65,413.66,18157.13,358.28,172.67,18681.61,
103022103,Cornell SD,Allegheny,631.39,736.58,13809.44,7630.32,699.36,22152.31,0.00,1782.94,23922.07,
103022253,Deer Lakes SD,Allegheny,1891.62,2218.64,11130.32,6703.78,367.46,18205.30,30.77,2096.19,20328.53,
103022503,Duquesne City SD,Allegheny,940.59,1095.69,15329.76,5967.17,96.43,21399.81,0.00,1743.47,23136.84,
103022803,East Allegheny SD,Allegheny,1788.13,2099.31,11218.47,5878.31,259.09,17359.31,116.42,1620.26,19092.55,
